State,result-obama,result-romney,obama-min,obama-max,romney-min,romney-max
Alabama,38.56,60.52,32.9,40.5,59,66.6
Alaska,41.11,54.51,32.7,44.7,53.8,65.8
Arizona,43.42,54.99,42.9,49.5,49.8,56.4
Arkansas,36.89,60.56,34.8,42.4,56,63.6
California,59.11,38.56,55.2,61,37.8,43.6
Colorado,51.27,46.44,47.8,53.8,45.3,51.3
Connecticut,50.85,47.83,53.3,59.9,39.2,45.8
Delaware,58.61,39.99,54.1,65.1,34.3,45.3
D. C.,91.12,7.11,89.8,96.2,3.2,9.6
Florida,49.85,49.29,47.1,52.5,47.1,52.5
Georgia,45.43,53.4,42.8,48.2,51.5,56.9
Hawaii,70.54,27.84,62.6,70.4,28.8,36.6
Idaho,32.33,64.84,27.6,36.6,61.7,70.7
Illinois,57.29,41.06,56.8,62.8,36.6,42.6
Indiana,43.67,54.41,42.3,48.3,51,57
Iowa,51.81,46.38,47.9,54.3,44.7,51.1
Kansas,38.04,60.19,31.8,44,55,67.2
Kentucky,38.42,59.89,35.8,44.8,54.3,63.3
Louisiana,40.56,57.81,35.8,42.8,56.4,63.4
Maine,56.21,40.57,52.3,59.5,39.4,46.6
Maryland,61.65,36.6,57.9,63.9,35.1,41.1
Massachusetts,60.91,37.49,55.2,62.8,36.1,43.7
Michigan,53.29,45.78,50.3,55.7,43.2,48.6
Minnesota,52.6,45.01,50.8,56.6,42.2,48
Mississippi,43.7,55.44,34.2,44.6,55,65.4
Missouri,44.26,53.88,42.7,48.5,50.8,56.6
Montana,41.92,55.18,41.3,49.1,49.3,57.1
Nebraska,37.82,60.49,37.1,43.7,55.6,62.2
Nevada,52.3,45.73,48.8,54.8,44.3,50.3
New Hampshire,52.19,46.46,47.9,54.9,44.4,51.4
New Jersey,57.97,41.02,52.2,58.8,40.2,46.8
New Mexico,52.87,42.97,50.5,57.7,41.1,48.3
New York,62.7,35.9,59.5,65.3,34.1,39.9
North Carolina,48.29,50.45,46.3,51.5,48,53.2
North Dakota,38.92,58.65,38.1,45.9,52.8,60.6
Ohio,50.29,48.29,48.6,54,45,50.4
Oklahoma,33.23,66.77,30,37.6,62.1,69.7
Oregon,53.38,43.59,49.9,57.3,40.4,47.8
Pennsylvania,52.47,46.27,49.9,55.1,44,49.2
Rhode Island,62.88,35.05,57.5,66.1,32.1,40.7
South Carolina,43.89,54.75,38.7,47.7,51.6,60.6
South Dakota,39.86,57.89,38.3,46.7,52,60.4
Tennessee,39.07,59.48,37.5,45.3,53.9,61.7
Texas,41.37,57.2,38.1,44.3,55.1,61.3
Utah,24.91,72.69,23.7,31.9,66.5,74.7
Vermont,66.92,30.8,61.4,71,27.9,37.5
Virginia,50.57,47.85,48.2,53.2,46.2,51.2
Washington,55.22,42.75,52.7,59.7,39.1,46.1
West Virginia,35.52,62.32,36.5,46.1,52.7,62.3
Wisconsin,52.75,46.13,49.5,55.3,44,49.8
Wyoming,27.86,68.62,24.9,36.9,61.7,73.7
